1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
-1.6,-1.6011,-1.58898,-1.5663,-1.53578,-1.5005,-1.46388,-1.42992,-1.40342,-1.3907,-1.40326,-1.45616,-1.53256,-1.62442,-1.7273,-1.83798,-1.95378,-2.0724,-2.1916,-2.309,-2.422,-2.5274,-2.627,-2.7208,-2.8086,-2.8904,-2.966,-3.0358,-3.1,-3.1596,-3.2174,-3.2752,-3.331,-3.3846,-3.4366,-3.4866,-3.5338,-3.5756,-3.6068,-3.6158,-3.5712,-3.464,-3.3318,-3.188,-3.04,-2.8922,-2.749,-2.615,-2.499,-2.4168,-2.4144,-2.49,-2.5944,-2.7088,-2.8218,-2.927,-3.0196,-3.0964,-3.155,-3.1924,-3.2012,-3.1854,-3.155,-3.1152,-3.0708,-3.0248,-2.9796,-2.9346,-2.8864,-2.825,-2.72,-2.5846,-2.4398,-2.2922,-2.144,-1.9951,-1.84566,-1.69658,-1.55164,-1.42164,-1.33664,-1.27688,-1.22314,-1.16914,-1.11286,-1.0544,-0.9947,-0.93456,-0.87348,-0.8074,-0.72432,-0.63538,-0.5478,-0.46364,-0.38306,-0.30512,-0.22854,-0.152098,-0.075358,0
-1.78416,-1.78632,-1.77406,-1.7502,-1.71772,-1.67998,-1.64072,-1.6043,-1.5759,-1.56252,-1.5747,-1.61958,-1.68942,-1.7761,-1.87464,-1.98156,-2.094,-2.2096,-2.326,-2.4406,-2.5506,-2.6542,-2.7514,-2.8426,-2.9272,-3.0052,-3.0764,-3.1408,-3.1988,-3.2514,-3.3004,-3.3474,-3.392,-3.4344,-3.4752,-3.515,-3.5536,-3.5888,-3.6156,-3.6218,-3.5862,-3.5048,-3.3996,-3.2846,-3.1668,-3.0504,-2.9382,-2.8346,-2.7478,-2.695,-2.7042,-2.7734,-2.8706,-2.9754,-3.0764,-3.1666,-3.2418,-3.299,-3.336,-3.3494,-3.3358,-3.2984,-3.2454,-3.1832,-3.1172,-3.0518,-2.9896,-2.9314,-2.8738,-2.806,-2.7122,-2.5972,-2.4756,-2.3538,-2.233,-2.1122,-1.98996,-1.86586,-1.74324,-1.63262,-1.54838,-1.48206,-1.4188,-1.35236,-1.28146,-1.20734,-1.13214,-1.05774,-0.98428,-0.90832,-0.8252,-0.73996,-0.65856,-0.58292,-0.51256,-0.44586,-0.38082,-0.31564,-0.24948,-0.183514
-1.96516,-1.96932,-1.95826,-1.93464,-1.90174,-1.8633,-1.82348,-1.78704,-1.75954,-1.74768,-1.75862,-1.79598,-1.85674,-1.93534,-2.027,-2.128,-2.2354,-2.3464,-2.4584,-2.569,-2.6756,-2.7768,-2.8716,-2.96,-3.0416,-3.116,-3.1828,-3.2418,-3.2934,-3.3378,-3.3764,-3.4104,-3.4404,-3.467,-3.4918,-3.516,-3.5398,-3.5618,-3.5778,-3.579,-3.555,-3.5046,-3.4374,-3.3636,-3.289,-3.2168,-3.149,-3.0896,-3.0452,-3.0282,-3.0506,-3.1106,-3.1916,-3.2776,-3.3576,-3.425,-3.4758,-3.5068,-3.5156,-3.5002,-3.4596,-3.3966,-3.3174,-3.2288,-3.1366,-3.0464,-2.9618,-2.8844,-2.8122,-2.7388,-2.6574,-2.5692,-2.4806,-2.3952,-2.3126,-2.2302,-2.1454,-2.0564,-1.9646,-1.87546,-1.79396,-1.71696,-1.63726,-1.55098,-1.45818,-1.36142,-1.26412,-1.1694,-1.07874,-0.9915,-0.90698,-0.82732,-0.75532,-0.69168,-0.6351,-0.58312,-0.5329,-0.48194,-0.42868,-0.37262
-2.1422,-2.1492,-2.1402,-2.1178,-2.0854,-2.0474,-2.0084,-1.97306,-1.94704,-1.93592,-1.94474,-1.97586,-2.028,-2.0978,-2.1814,-2.2752,-2.3762,-2.4814,-2.5884,-2.6944,-2.7972,-2.8952,-2.9874,-3.0732,-3.1518,-3.2228,-3.2856,-3.3394,-3.384,-3.4196,-3.4466,-3.4658,-3.4786,-3.4864,-3.4912,-3.4952,-3.4996,-3.505,-3.5092,-3.5084,-3.4982,-3.4788,-3.454,-3.4288,-3.4064,-3.388,-3.3742,-3.3666,-3.3686,-3.3862,-3.4234,-3.4782,-3.542,-3.6044,-3.6578,-3.6968,-3.7178,-3.7182,-3.6954,-3.6484,-3.577,-3.484,-3.3748,-3.2558,-3.1334,-3.014,-2.903,-2.8034,-2.7162,-2.6396,-2.5716,-2.5118,-2.461,-2.4192,-2.383,-2.3478,-2.3084,-2.2608,-2.203,-2.1352,-2.0584,-1.97132,-1.87218,-1.76102,-1.64054,-1.5153,-1.39062,-1.27138,-1.1612,-1.06206,-0.975,-0.90096,-0.84014,-0.79126,-0.75148,-0.71712,-0.6843,-0.64952,-0.61008,-0.56408
-2.3136,-2.3242,-2.3176,-2.2968,-2.2656,-2.2286,-2.1908,-2.157,-2.1322,-2.121,-2.1274,-2.153,-2.1976,-2.259,-2.3342,-2.4202,-2.5142,-2.6132,-2.7146,-2.8158,-2.9146,-3.0094,-3.0986,-3.1816,-3.2576,-3.3256,-3.3848,-3.434,-3.472,-3.4984,-3.5132,-3.5168,-3.5106,-3.4972,-3.4794,-3.46,-3.4422,-3.429,-3.4214,-3.42,-3.425,-3.4364,-3.4556,-3.4828,-3.518,-3.5594,-3.605,-3.653,-3.7028,-3.7542,-3.8068,-3.8588,-3.9056,-3.943,-3.967,-3.9744,-3.963,-3.9304,-3.8746,-3.7944,-3.69,-3.5642,-3.4218,-3.269,-3.1132,-2.9616,-2.821,-2.6974,-2.5954,-2.517,-2.4632,-2.4326,-2.4228,-2.4294,-2.4454,-2.4634,-2.475,-2.4728,-2.4508,-2.4052,-2.3338,-2.237,-2.1168,-1.9774,-1.82504,-1.66708,-1.51116,-1.36452,-1.23324,-1.12156,-1.03168,-0.96364,-0.91548,-0.88352,-0.86294,-0.84848,-0.83492,-0.81752,-0.79234,-0.75642
-2.4768,-2.4914,-2.4874,-2.4682,-2.4384,-2.403,-2.3668,-2.3344,-2.3104,-2.2988,-2.3028,-2.3236,-2.3616,-2.415,-2.482,-2.5602,-2.647,-2.7396,-2.8354,-2.9318,-3.0266,-3.1176,-3.2038,-3.2844,-3.3582,-3.4242,-3.4808,-3.5264,-3.5588,-3.5768,-3.5794,-3.567,-3.5414,-3.5056,-3.463,-3.4184,-3.3768,-3.3432,-3.323,-3.3212,-3.341,-3.3832,-3.4468,-3.5282,-3.6232,-3.727,-3.834,-3.9392,-4.0366,-4.1214,-4.1894,-4.2388,-4.269,-4.2806,-4.2738,-4.2486,-4.2042,-4.1388,-4.0504,-3.9374,-3.7996,-3.6398,-3.4624,-3.2742,-3.083,-2.897,-2.725,-2.5758,-2.4578,-2.3774,-2.338,-2.3378,-2.371,-2.4288,-2.5006,-2.5752,-2.6412,-2.6876,-2.7034,-2.6806,-2.615,-2.5078,-2.3646,-2.1946,-2.0078,-1.8144,-1.62484,-1.44888,-1.29528,-1.17076,-1.07852,-1.01772,-0.98398,-0.97088,-0.97128,-0.97818,-0.98494,-0.98554,-0.97478,-0.94862
-2.6284,-2.6476,-2.646,-2.6284,-2.6,-2.5662,-2.532,-2.5014,-2.4784,-2.4664,-2.468,-2.4848,-2.5168,-2.563,-2.6222,-2.6926,-2.772,-2.8582,-2.9486,-3.0404,-3.131,-3.2186,-3.3018,-3.3802,-3.4526,-3.5178,-3.5734,-3.6172,-3.6458,-3.657,-3.6488,-3.6212,-3.5762,-3.5176,-3.4502,-3.3796,-3.3126,-3.257,-3.2224,-3.2182,-3.2514,-3.324,-3.4316,-3.5666,-3.721,-3.8862,-4.0544,-4.216,-4.3612,-4.4788,-4.5614,-4.607,-4.619,-4.6036,-4.566,-4.509,-4.4332,-4.3374,-4.2188,-4.0752,-3.9058,-3.7126,-3.5006,-3.277,-3.0502,-2.8294,-2.6248,-2.448,-2.3118,-2.2278,-2.2026,-2.2336,-2.3112,-2.4212,-2.5494,-2.6816,-2.8034,-2.8998,-2.9554,-2.9566,-2.8962,-2.7768,-2.6088,-2.4066,-2.1842,-1.95494,-1.73106,-1.52488,-1.34822,-1.2109,-1.11764,-1.06626,-1.04914,-1.05652,-1.07882,-1.10748,-1.13468,-1.15326,-1.1566,-1.1394
-2.764,-2.7878,-2.7882,-2.7718,-2.7454,-2.7142,-2.6828,-2.655,-2.6336,-2.6216,-2.6216,-2.6348,-2.6614,-2.701,-2.7524,-2.8148,-2.8866,-2.9664,-3.0514,-3.139,-3.226,-3.31,-3.3906,-3.4674,-3.5396,-3.6054,-3.6622,-3.7064,-3.7342,-3.7412,-3.7244,-3.683,-3.6198,-3.5398,-3.4484,-3.3526,-3.26,-3.181,-3.1286,-3.1182,-3.1626,-3.2644,-3.4148,-3.601,-3.8108,-4.0334,-4.2586,-4.4746,-4.6664,-4.817,-4.9122,-4.9502,-4.941,-4.8978,-4.8304,-4.7442,-4.6406,-4.5186,-4.3748,-4.2054,-4.0078,-3.7838,-3.5396,-3.283,-3.023,-2.769,-2.532,-2.326,-2.1682,-2.0774,-2.0652,-2.1284,-2.2502,-2.4112,-2.593,-2.7796,-2.9552,-3.102,-3.1994,-3.2258,-3.1694,-3.0346,-2.84,-2.6058,-2.3498,-2.0868,-1.83058,-1.59484,-1.39482,-1.24506,-1.1531,-1.11438,-1.11622,-1.14482,-1.18848,-1.23764,-1.28398,-1.31952,-1.33622,-1.3268
-2.8782,-2.906,-2.9076,-2.8932,-2.87,-2.8434,-2.8168,-2.7932,-2.7748,-2.7638,-2.7626,-2.773,-2.7948,-2.8276,-2.871,-2.9248,-2.9886,-3.0612,-3.141,-3.2248,-3.3084,-3.389,-3.4672,-3.5434,-3.617,-3.6856,-3.7458,-3.7936,-3.8238,-3.8306,-3.8084,-3.7554,-3.6764,-3.5774,-3.4654,-3.347,-3.2308,-3.1282,-3.0546,-3.0322,-3.084,-3.2142,-3.405,-3.6364,-3.8932,-4.164,-4.438,-4.7022,-4.939,-5.1226,-5.2276,-5.2522,-5.2184,-5.148,-5.0538,-4.9426,-4.8166,-4.6744,-4.5124,-4.324,-4.1036,-3.853,-3.581,-3.2968,-3.0092,-2.727,-2.461,-2.226,-2.0428,-1.93944,-1.93942,-2.0358,-2.1998,-2.4054,-2.6324,-2.8652,-3.0878,-3.2816,-3.4218,-3.4762,-3.4208,-3.2666,-3.0448,-2.7826,-2.4992,-2.2096,-1.92676,-1.66492,-1.442,-1.27994,-1.19286,-1.17108,-1.19328,-1.24166,-1.30356,-1.36954,-1.43154,-1.48156,-1.5103,-1.50718
-2.9628,-2.993,-2.996,-2.9854,-2.969,-2.9504,-2.932,-2.9154,-2.902,-2.8932,-2.892,-2.9002,-2.9174,-2.943,-2.9774,-3.0212,-3.0752,-3.1396,-3.2134,-3.2938,-3.3746,-3.4516,-3.5284,-3.606,-3.6834,-3.7572,-3.8236,-3.8776,-3.9136,-3.9246,-3.901,-3.8392,-3.748,-3.6352,-3.5076,-3.3722,-3.2376,-3.115,-3.02,-2.9786,-3.0328,-3.1912,-3.4154,-3.68,-3.97,-4.2744,-4.5828,-4.883,-5.1572,-5.3746,-5.4858,-5.4892,-5.431,-5.338,-5.2236,-5.0942,-4.952,-4.7964,-4.6234,-4.4248,-4.1884,-3.917,-3.625,-3.322,-3.016,-2.7152,-2.4288,-2.1706,-1.96126,-1.8372,-1.8487,-1.97818,-2.1758,-2.4126,-2.6698,-2.9332,-3.1884,-3.4182,-3.5982,-3.6852,-3.626,-3.4486,-3.2056,-2.9258,-2.6276,-2.3238,-2.026,-1.74704,-1.50464,-1.32918,-1.25274,-1.25128,-1.29124,-1.35384,-1.42738,-1.50332,-1.57452,-1.63376,-1.67182,-1.67386
